,rec,initFlux,optFlux
0,O2tex,17.578933530254233,8.825687288491595
1,ACPS1,0.0,0.0
2,EX_hxa_e,0.0,0.0
3,FA120ACPHi,0.0,0.0
4,NH4tex,10.610425051825072,5.305212525912493
5,HCO3E,0.5165753058634199,0.25828765293170153
6,THD2pp,0.0,0.0
7,HACD2,0.3496064807132768,0.17480324035663858
8,SUCCt3pp,0.0,8.56107985046729
9,ACtex,-1.6472304460617337e-14,0.0
10,NDPK2,0.4177860316319673,0.20889301581598388
11,ETHAtex,0.0,0.0
12,GDMANE,0.0,0.0
13,ACALD,0.0,6.157725195146061e-33
14,FEROpp,0.0,0.0
15,ACOAD1f,-0.3496064807132768,-0.17480324035663858
16,TMAOtex,0.0,0.0
17,ASNt2rpp,0.0,0.0
18,PGI,5.918065146483437,5.981776438661204
19,ACACT2r,0.3496064807132768,0.17480324035663858
20,ASPTA,-2.8760693263127175,-1.43803466315634
21,UACGAMPpp,0.0,0.0
22,MPTAT,0.00023969872230538257,0.0001198493611526914
23,F6PA,0.8653751925204736,0.0
24,ACONMT,0.0,0.0
25,HEXt2rpp,0.0,0.0
26,CITL,0.0,0.0
27,EX_pyr_e,0.0,0.0
28,EX_fe3_e,0.0,0.0
29,ACALDtpp,0.0,0.0
30,GLYC2Pabcpp,0.0,0.0
31,EX_pi_e,-0.9476263040826485,-0.47381315204128427
32,RPE,1.9589431790865617,0.4039035297307835
33,ACACT5r,0.3496064807132768,0.17480324035663858
34,DHAtex,0.0,0.0
35,EX_nh4_e,-10.610425051825072,-5.305212525912493
36,G3PIabcpp,0.0,0.0
37,ACt2rpp,-1.6472304460617337e-14,0.0
38,FACOAL141t2pp,0.0,0.0
39,AACTOOR,0.0,0.0
40,PGPP181pp,0.0,0.0
41,NI2t3pp,0.0,0.0
42,CYTK1,0.17771597278137405,0.08885798639068698
43,ACACT3r,0.3496064807132768,0.17480324035663858
44,5DGLCNR,0.0,0.0
45,PYK,0.0,0.0
46,MCITL2,0.0,0.0
47,PPK,-3.441826094608491,-1.7209130473042396
48,GTHRDtex,0.0,0.0
49,DHAtpp,0.0,0.0
50,ADK1,2.5786896606512517,1.28934483032561
51,NADK,0.00043912020028926205,0.00021956010014552611
52,PIt2rpp,0.9476263040826485,0.47381315204128427
53,I2FE2SR,1.9647436254539556e-06,9.823718127269787e-07
54,FE3tex,0.0,0.0
55,NTD3,0.0,0.0
56,PYRt2rpp,0.0,0.0
57,GLYALDtex,0.0,0.0
58,ACACT1r,0.3496064807132768,0.17480324035663858
59,EX_gly_e,0.0,0.0
60,PUNP1,-0.0006611362299652629,-0.00033056811498262834
61,APH181,0.0,0.0
62,3OAR180,0.0,0.0
63,M1PD,0.0,0.0
64,LDH_D,0.0,0.0
65,EX_o2_e,-17.578933530254236,-8.825687288491688
66,FACOAE60,0.0,0.0
67,ACGAL1Ptex,0.0,0.0
68,INStex,0.0,0.0
69,FE2tex,0.01577787368420799,0.007888936842104002
70,12DGR140tipp,0.0,6.157725195146061e-33
71,EX_val__L_e,0.0,0.0
72,EX_ac_e,1.6472304460617337e-14,0.0
73,ECOAH8,0.0,0.0
74,LPLIPAL2ATE161,0.0,0.0
75,PItex,0.9476263040826485,0.47381315204128427
76,PPA,0.0,0.0
77,EX_mnl_e,0.0,0.0
78,HACD5,0.3496064807132768,0.17480324035663858
